Datetime	 Elapsed	 Num Blocks	 Num Txns
2019-04-23 22:43:50.209826	 567.0	 41	 5235
2019-04-23 22:43:56.212345	 573.01	 41	 5235
2019-04-23 22:43:59.212288	 576.01	 41	 5235
2019-04-23 22:44:02.210258	 579.0	 41	 5235
2019-04-23 22:44:05.209391	 582.0	 41	 5235
2019-04-23 22:44:08.209616	 585.0	 41	 5235
2019-04-23 22:44:11.209423	 588.0	 41	 5235
2019-04-23 22:44:17.211236	 594.0	 41	 5235
2019-04-23 22:44:23.213264	 600.01	 42	 5795
2019-04-23 22:44:29.211404	 606.0	 43	 5955
2019-04-23 22:44:35.216105	 612.01	 43	 5955
2019-04-23 22:44:41.214698	 618.01	 44	 6055
2019-04-23 22:44:47.215993	 624.01	 46	 6135
2019-04-23 22:44:53.215490	 630.01	 46	 6135
2019-04-23 22:44:59.215640	 636.01	 46	 6135
2019-04-23 22:45:05.215356	 642.01	 46	 6135
2019-04-23 22:45:11.215573	 648.01	 46	 6135
2019-04-23 22:45:17.212248	 654.01	 46	 6435
2019-04-23 22:45:23.214925	 660.01	 47	 6435
2019-04-23 22:45:29.215713	 666.01	 47	 6435
2019-04-23 22:45:35.215301	 672.01	 47	 6435
2019-04-23 22:45:41.215202	 678.01	 47	 6435
2019-04-23 22:45:47.214126	 684.01	 47	 6435
2019-04-23 22:45:53.211334	 690.0	 47	 6435
2019-04-23 22:45:59.209274	 696.0	 48	 6835
2019-04-23 22:46:05.215310	 702.01	 48	 6835
2019-04-23 22:46:11.214918	 708.01	 48	 6835
2019-04-23 22:46:17.215142	 714.01	 48	 6835
2019-04-23 22:46:23.215014	 720.01	 48	 6835
2019-04-23 22:46:29.214971	 726.01	 48	 6835
2019-04-23 22:46:35.214911	 732.01	 48	 6835
2019-04-23 22:46:41.215095	 738.01	 48	 6835
2019-04-23 22:46:47.215256	 744.01	 48	 6835
2019-04-23 22:46:53.214945	 750.01	 48	 6835
2019-04-23 22:46:59.215026	 756.01	 48	 6835
2019-04-23 22:47:05.211595	 762.0	 48	 6835
2019-04-23 22:47:14.211919	 771.0	 48	 6835
2019-04-23 22:47:23.215231	 780.01	 49	 7535
2019-04-23 22:47:29.210620	 786.0	 50	 7735
2019-04-23 22:47:35.214581	 792.01	 50	 7735
2019-04-23 22:47:41.214155	 798.01	 50	 7735
2019-04-23 22:47:47.215274	 804.01	 50	 7735
2019-04-23 22:47:53.214323	 810.01	 50	 7735
2019-04-23 22:47:59.213058	 816.01	 50	 7735
2019-04-23 22:48:05.209635	 822.0	 50	 8035
2019-04-23 22:48:11.213730	 828.01	 51	 8035
2019-04-23 22:48:17.214622	 834.01	 51	 8035
2019-04-23 22:48:23.214293	 840.01	 51	 8035

DATETIME	 ELAPSED	 NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
2019-04-23 22:34:23.208694 0.0 0 c1e7e8e133f494ad2f5f41429fc4b2f893e311f8e5065881f944122ba07ee01e5b623c98a3f08d4b29a52719b774f362d7462e0627a84f99e3afc99c5520a205 4 12
2019-04-23 22:34:35.215312 12.01 1 f9c6d94cbb23dfd0ff599219ea63bc4c965741c495cc5be3f575fc55d0c9f0bc463c076778e9cac17103594424cafd939bbe02698856f69693c69020296611b6 3 3
2019-04-23 22:34:59.214817 36.01 2 b1a6ea88bbf6fd3eb13d49340a76804280d3cf359f98b3c2d5c5db8c136e5a43429513b732c57b84dac07c0996365173479f80a031b919cdb9a4cda95ce9cb64 11 220
2019-04-23 22:35:02.211986 39.0 3 311be495611c996d3c478f61badb9af5e598b18da5d7e8e2efaa5d6f6d2b50db4f855ce5c57a63581ca17598c204cd3b1a659c35b3962292fa5babe6bcdb56be 2 40
2019-04-23 22:35:23.210502 60.0 4 714155867e836a43598fea5bfd5c41836c94d95e2ab4049e848459223c53255b7b380f83ef0c081236751793b7d7203947ce29c5f09dedc8e9051a49145f1cb7 11 220
2019-04-23 22:35:26.213094 63.01 5 dded9e49067b3585ff6fb8558358c053962dd5db61a036d82548b174d93a3ec52af7333f12e74966d474a2b3c37e5b890dd8e9906da5b1c0100ff988aaa3dfed 2 40
2019-04-23 22:35:29.214935 66.01 6 45b026db9a68182f37852fdb468147552c260659a9f91a3c5f95e84f67a2b6262740e8fb37e9f96fab2698b1b102388556dc592e7cda6ba85ed447ab24c3d7a6 2 40
2019-04-23 22:35:32.211991 69.01 7 a4a93289a0f860c1febc22f46f44385892cb8907eb6ecc8fff720d114c1e0f4c3062c6546115651685ec22e21d141ad510a9b2419ae9a448cec4946c243b8ecf 1 20
2019-04-23 22:35:44.214701 81.01 8 9a6b278f4cf3d7ce767ed817818e518364d2cf9c880eb52b69e0b2f3d51f787d3627bd44bafeb594c2334ccaf4824aa0526917e5ef990cbde294e9d972aee76f 5 100
2019-04-23 22:35:53.210639 90.0 9 ee5cf684d1d1d2855d371879bf7f7fa64c69779481633255b696e7527694811b7ef204bd5036f2255812f88c5f5c4563f645600ae74f46fb85a371d63f706d16 6 120
2019-04-23 22:36:08.210214 105.0 10 6ee72857a87c8322445892f7abfdb5d2fe7d3eba0d716625ce5f63858246ea0a6b8096edd6abd740121882f2eb34105f221b384d469514c4027d4dda1a738329 6 120
2019-04-23 22:36:32.210921 129.0 11 0f20915a45564f4c524e6c6b04ad3d31bd30a8042178b896fba43e99593aab8428327c860b67a993c9955d64aa2d0f572c4bedd221cc6a3bf0f65a228e83b28f 12 240
2019-04-23 22:36:56.211476 153.0 12 e2c5c24c93a92e44bbf28f5e2ce8d3a1dd72b2610d7dc482ab1ff586f72cb4dc18e628c94d3c36a1ee1a2ce7a2e4d24025b7d45b5bf5a887d2ad16e69ef0d7d7 13 260
2019-04-23 22:37:23.214807 180.01 13 f2cb65fec69d7b33fad40175c5fe721d2d32c419fdcdc4ec1ed437f060a7790777c3ca1783200bfea83b624b5be35b10215b394456c1e6b45c5cda0185dccbe2 12 240
2019-04-23 22:38:05.210173 222.0 14 0656b5128a4faaf692db3286e6515b43a6edbf2a9e1b54a4a885e9184398f9075164a7433c2a7f836f72861725c1142dc80500d4c1f82b082e7857281d9bdf4c 19 380
2019-04-23 22:38:14.216068 231.01 15 82e7d22022a8c1e6c5dcdf758af7fb17ed2c909a6ef1b55b5e47b2ea707ab8d77fc5a39119583e31d42638779989aff1dce5c6a6fd7da10d254ac561d0986c3d 7 140
2019-04-23 22:38:26.211590 243.0 16 2a643ef64b297570771ee56d56dac3d6389bd3ddc6ec9acc9d4c66b936dfebc676366756c52410c3fdd9ff5048e857777a6484f367137e7b7b55a1e6c8d1717f 7 140
2019-04-23 22:38:32.211497 249.0 17 9f9e786c235f5dc70f9baccd14f995bc72239111204183042cf8ab23f145e656041ecb4648ffaede7742021312e7d857d2363d81c2540d933163cd58ff30cb32 3 60
2019-04-23 22:38:35.214149 252.01 18 dc6a921eddccb282447c3bf4b0988fed8ade4442e557b9be72ddcfff74b6f829634c8c56e5115ef4fabf2317beb7e6fbf788b95e5b3ae2f716d6a6758c8c6456 2 40
2019-04-23 22:39:50.210629 327.0 19 32a0853e61edb6c5846b34a9b65f107c46b5f9936448e5cfe3bde7cb12152281378b4c5e7699f2c3c29f7c64897b21b3699661d11aaffbcdfd26e1342ff5f079 31 620
2019-04-23 22:39:53.213446 330.01 20 fde0e116f4fe691368be7938817af71132f2c4e3a2b6297ebc52d82bb2455bec1a28614522131600aaf96b9fa487634c26dda6de3ed928b95c17c3e906b19630 7 140
2019-04-23 22:40:26.210073 363.0 21 61c499d38ceb2f111bc1e89221cc19fdb9221f0528fb7f1534293a8c942b62d34a3f9432cc61750634c531ea18630ba2c39a6f16597c49eefcbc51e77f9945f5 15 300
2019-04-23 22:40:32.210476 369.0 22 190b9b5c3e8ad2e6df2108778d74f9099710893f3254257ae7c416c58c4d23bb15a5030280914e0b3c22f9dd77ec769824a8d6c702d9616afb0537c0537ef017 2 40
2019-04-23 22:40:38.210483 375.0 23 dbd19002ff7f8e556fe8cc9be62d1ced81adcd7a21f6ef784ba25b050220d4e44d1ec5cb6accbcb172fb8b7561f05e341680b209a912d2b3fa1915a444692ef0 3 60
2019-04-23 22:41:14.215821 411.01 24 0189073c154a430f2c0c60344cc5848fd8142e3f1b92f6bb82e8291267f62bae41d0fd364851c21fab75d90ccbbb9d4ee24b4df23358c875919f2f7756cc9db9 16 320
2019-04-23 22:41:32.209907 429.0 25 5f6f987339e726a6e57a1ece8a481ddd8048078739757561d918e525ce290120378c7c3dce4fb46b8e25d79bbde156d2efdbeae3d4c7e8aabf3262ec8b345e22 10 200
2019-04-23 22:41:35.213010 432.01 26 35436a14b661df3e9b367ea0973ee1ca2a1e0565a3adfe051aaf18892c5a2e0c11a666edc2b1590c7cacbe21f6d6336a6e3e2ffb72b8b8fb02bc04d665cc56e4 4 80
2019-04-23 22:41:44.213374 441.01 27 6f27ec42d6849c315b9c64ebd4c32b9582534c256c053dc584ad816ea7b3dbad53767afd5be999e7f41b8bb68ef9521b20429837a10598415d2e88a1445be2cf 5 100
2019-04-23 22:41:50.210825 447.0 28 532ecbe5217900d40c82cfbc0e01057dbe3e896ac1ed2253ec20f99f8b2c9aa01f3296b0b064f1f3af70ebca80651e6df95fef8e145c40cd6eda1e6f0771e62e 3 60
2019-04-23 22:42:11.215671 468.01 29 6e1c63ca5c95a00e8d6d61cc97ba54e38912ef58a7324cbe1e9abc923ba2a8e77fd0818d9646fcc4bf8a999f04d48ed8c83fcdde6ac5cf2dff43533766dac428 9 180
2019-04-23 22:42:17.212891 474.01 30 34a3d6edb2d01d3877a80f72577e7ac4fed55342188a3dd6921a4d2061717afa24b52ccdb0544193cb1177ab23757cd04583c221a62d5bf375bdf2fd7f44e49a 5 100
2019-04-23 22:42:23.212971 480.01 31 6908c69ba20267e8b7da93ce12aac4e08dd1bad813caa9d0e10f7e41d721493d01e6f5d154eedbe1cd8d1ff1dcba37eb5e69f40271c89d32205e82e37a81e6b7 3 60
2019-04-23 22:42:29.213959 486.01 32 c80c196eab7d64684315dbf2bd603f95b457efb801379e19fa00bdd465aa2217384525526a0e20bc82da3d107bbcbf036064880f65bdcd32514c3b2f90125593 2 40
2019-04-23 22:42:38.212872 495.01 33 32b4c03a50655affac3f07a4acdaa2c2d611db719e1068fc414260c665e299ed1a9feecaa899ffa961b8bbe21301d86c61f2aaa46d8eb2c20fe57eff0bb47ba8 4 80
2019-04-23 22:42:44.215710 501.01 34 a7a46ea85eb0321d3deb88f3b6d6c9febe3acaf920b05a1e3a7e598fbf55b5325cbf50990e9f68680447639bcb505f291979758141f003f90c7e1c00b12a3f21 3 60
2019-04-23 22:42:50.211406 507.0 35 dac317a668ae2875c5c7e3e3b73dbfbeb6f1fa61b4c7ef03533838b623c02ed51aa66f5168fcb15955fe647d3c7e2e5b2e9764bef4485469f3543020dc82ce29 3 60
2019-04-23 22:42:56.211204 513.0 36 dd969299e675e51f8658e9d356188f0bac20c577dc02978e1ad21d7dca7754dc01a14d2be68f9f328fd0fd34b61ad7f2e7d70b546b162a87d967237056230534 3 60
2019-04-23 22:43:02.209807 519.0 37 c8b1d6730a1706af26b08edf085b4a6ffe204584029000cbdd938e85f5cffc316651ce56d52a6a1e89185cd6a8d2a148bcce8203046bfe6b7d5a5bc74d9342da 3 60
2019-04-23 22:43:02.209807 519.0 38 e4079198afe5c84deef34dc193b21c79eec7f62ab210a5612e9fe10b5cea17a10bede86a87a75e07caa2021c11f49e815fa2938d3ae813b4f9bdd9dc57942fe8 2 40
2019-04-23 22:43:08.210333 525.0 39 b2da3ab27e79eeef55ad22bb08535ee70ffc0e43bb18fcc846c55e6eb56cc077058b7a935f880ca67c900fd4bd28307efcf442f3cf32fde4e3f1aaee54052780 2 40
2019-04-23 22:43:20.213110 537.01 40 8d29e49783b5a1abc5d65a405e1426add939591c7da1cef4b649f21acb565a4c187ec2f69614fb5211a593cd93c9a545705148730fcd7469552de418462e487a 5 100
2019-04-23 22:44:23.213264 600.01 41 21ea4582810c93adc9cfe3c45281a1a5a51deba5303072dc7256ce5cb5ea6677586a1010eec50bdef4a05dc924536b6b3c94901bca329cdaec56bb10150ebecd 28 560
2019-04-23 22:44:29.211404 606.0 42 25e667e1edec32c868965da89b6a06427168e1fb0b7338be9ec64217ef9a9d8844e0374b2d96660770f66aa44043863bd9afd8a7a52637677dcba09ef048d8f7 8 160
2019-04-23 22:44:41.214698 618.01 43 e29d76c1f0a9da539400c052960604b34dd078cdfaa7266f661cea2bd2f0428f5ec68b132ff882f425d2e46955b47e883ca63db98dd95a123a0f63acd04d8448 5 100
2019-04-23 22:44:47.215993 624.01 44 3a987eb273b856f2c7590d277cdaf7cada61146228b01c1113e01361134a9a647da5fc2bea434b37e8989b227ac91f37fc1e46aff3aede740896610b865553de 3 60
2019-04-23 22:44:47.215993 624.01 45 27b33c10d3d7a34ef7c07433323da6701bf2b01fda9fb7b5146523be75fec4632bcaf73745d84529d0dcd6a1e4caa9d63a94ac5e4a671e8abf96b27fc9075720 1 20
2019-04-23 22:45:23.214925 660.01 46 1f17f1704e8b7bfa181d15c30bf95b8fab0fb5450891e10a01b107af628280482fe8d2abfd017f07478dcff1f79053ea5b1521bd2ada913c16bcae1958d6ab0c 15 300
2019-04-23 22:45:59.209274 696.0 47 8208f175f455d6b9b49c6187df9859f434bcc59ac49b0ee5e0320ff3798f59a11677e1db8d2cb02edacc0566ce444ca7ad67bd1da5917b14bc1da0cdec2d9485 20 400
2019-04-23 22:47:23.215231 780.01 48 2dbd758c31b6b7c760246e826f36eb199cbf886670eeaa32f319a0485172facd610a127bdcc7ed6c6e4b4797fba6c9e389776f9203e9fce055a313787b3bdb27 35 700
2019-04-23 22:47:29.210620 786.0 49 7730a257b300649cce9c8e5f128cdf7c35ef1433134a6df3529d13bad7193cb261dfdae562316a225267a02e380a5c4f7e9e5dd7507416990f6300c677d29ea8 10 200
2019-04-23 22:48:11.213730 828.01 50 9e8c1e86aeb937acf49ca7ee08ba8c608332bebe9521105a8f66c00c223d009c1373c633a5ddce3b983b6857bca38cba983e3cf90f34707d03dd8b58e008b7a0 15 300


NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
50   9e8c1e86aeb937acf49ca7ee08ba8c608332bebe9521105a8f66c00c223d009c1373c633a5ddce3b983b6857bca38cba983e3cf90f34707d03dd8b58e008b7a0  15    300   0277c821323f96195b6c70489c93c421b1ceea12ca0c0c9151a34daf5d62a46a72
49   7730a257b300649cce9c8e5f128cdf7c35ef1433134a6df3529d13bad7193cb261dfdae562316a225267a02e380a5c4f7e9e5dd7507416990f6300c677d29ea8  10    200   03d91610879f9ba84f51480fa902a3a8ba67c8a2a7f67dfda6c9e7a0c73efec154
48   2dbd758c31b6b7c760246e826f36eb199cbf886670eeaa32f319a0485172facd610a127bdcc7ed6c6e4b4797fba6c9e389776f9203e9fce055a313787b3bdb27  35    700   0277c821323f96195b6c70489c93c421b1ceea12ca0c0c9151a34daf5d62a46a72
47   8208f175f455d6b9b49c6187df9859f434bcc59ac49b0ee5e0320ff3798f59a11677e1db8d2cb02edacc0566ce444ca7ad67bd1da5917b14bc1da0cdec2d9485  20    400   03ba069b198f710326b0b18795e12740d7f7cc3666408548ba74ea75b82491ca08
46   1f17f1704e8b7bfa181d15c30bf95b8fab0fb5450891e10a01b107af628280482fe8d2abfd017f07478dcff1f79053ea5b1521bd2ada913c16bcae1958d6ab0c  15    300   02cbdbd69bb20969dd5ed1237cf89460fb5e8f8e09016fc7357d7d6da865ab2071
45   27b33c10d3d7a34ef7c07433323da6701bf2b01fda9fb7b5146523be75fec4632bcaf73745d84529d0dcd6a1e4caa9d63a94ac5e4a671e8abf96b27fc9075720  1     20    02cbdbd69bb20969dd5ed1237cf89460fb5e8f8e09016fc7357d7d6da865ab2071
44   3a987eb273b856f2c7590d277cdaf7cada61146228b01c1113e01361134a9a647da5fc2bea434b37e8989b227ac91f37fc1e46aff3aede740896610b865553de  3     60    02cbdbd69bb20969dd5ed1237cf89460fb5e8f8e09016fc7357d7d6da865ab2071
43   e29d76c1f0a9da539400c052960604b34dd078cdfaa7266f661cea2bd2f0428f5ec68b132ff882f425d2e46955b47e883ca63db98dd95a123a0f63acd04d8448  5     100   02cbdbd69bb20969dd5ed1237cf89460fb5e8f8e09016fc7357d7d6da865ab2071
42   25e667e1edec32c868965da89b6a06427168e1fb0b7338be9ec64217ef9a9d8844e0374b2d96660770f66aa44043863bd9afd8a7a52637677dcba09ef048d8f7  8     160   03ba069b198f710326b0b18795e12740d7f7cc3666408548ba74ea75b82491ca08
41   21ea4582810c93adc9cfe3c45281a1a5a51deba5303072dc7256ce5cb5ea6677586a1010eec50bdef4a05dc924536b6b3c94901bca329cdaec56bb10150ebecd  28    560   0277c821323f96195b6c70489c93c421b1ceea12ca0c0c9151a34daf5d62a46a72
40   8d29e49783b5a1abc5d65a405e1426add939591c7da1cef4b649f21acb565a4c187ec2f69614fb5211a593cd93c9a545705148730fcd7469552de418462e487a  5     100   03ba069b198f710326b0b18795e12740d7f7cc3666408548ba74ea75b82491ca08
39   b2da3ab27e79eeef55ad22bb08535ee70ffc0e43bb18fcc846c55e6eb56cc077058b7a935f880ca67c900fd4bd28307efcf442f3cf32fde4e3f1aaee54052780  2     40    03ba069b198f710326b0b18795e12740d7f7cc3666408548ba74ea75b82491ca08
38   e4079198afe5c84deef34dc193b21c79eec7f62ab210a5612e9fe10b5cea17a10bede86a87a75e07caa2021c11f49e815fa2938d3ae813b4f9bdd9dc57942fe8  2     40    02cbdbd69bb20969dd5ed1237cf89460fb5e8f8e09016fc7357d7d6da865ab2071
